學校類型,學校代碼,學校名稱,縣市別,"學生宿舍床位數
(床)","自有宿舍床位數
(床)","教職員宿舍單身床位
(床)","教職員宿舍有眷戶數
(戶)",可使用校地-校舍基地(平方公尺),"可使用校地-露天運動場地
(平方公尺)","可使用校地-其他校地
(平方公尺)","無法使用校地
(平方公尺)"
國立大學,1,國立政治大學,臺北市,6698,6698,68,99,63334,70032,919826,19192
國立大學,2,國立清華大學,臺北市,0,0,0,0,1176,0,807,0
國立大學,2,國立清華大學,新竹縣,0,0,0,0,0,0,0,101134
國立大學,2,國立清華大學,新竹市,8435,8435,208,301,139494,48113,848341,0
國立大學,3,國立臺灣大學,臺北市,8640,8640,72,728,471354,33529,863406,0
國立大學,4,國立臺灣師範大學,新北市,0,0,1,13,25578,38552,251113,0
國立大學,4,國立臺灣師範大學,臺北市,4145,4145,12,19,112097,55314,56234,0
國立大學,5,國立成功大學,臺南市,6517,6517,110,129,238668,45345,1571735,0
國立大學,6,國立中興大學,臺中市,3294,3294,106,131,100470,30909,400146,0
國立大學,7,國立交通大學,臺北市,0,0,0,0,1172,0,621,0
國立大學,7,國立交通大學,臺南市,300,300,0,0,6969,550,74472,0
國立大學,7,國立交通大學,新竹縣,0,0,0,0,3504,0,21497,0
國立大學,7,國立交通大學,新竹市,8661,8661,163,139,109358,97928,562817,0
國立大學,8,國立中央大學,新北市,0,0,0,0,0,0,104,0
國立大學,8,國立中央大學,臺北市,0,0,0,0,0,0,30,0
國立大學,8,國立中央大學,桃園市,6125,6125,107,236,102914,22143,511161,0
國立大學,8,國立中央大學,宜蘭縣,0,0,0,0,0,0,19,0
國立大學,8,國立中央大學,新竹縣,0,0,0,0,0,0,15,0
國立大學,8,國立中央大學,南投縣,0,0,0,0,195,0,735,0
國立大學,8,國立中央大學,嘉義縣,0,0,0,0,134,0,815,0
國立大學,8,國立中央大學,屏東縣,0,0,0,0,0,0,15,0
國立大學,8,國立中央大學,臺東縣,0,0,0,0,0,0,15,0
國立大學,8,國立中央大學,基隆市,0,0,0,0,0,0,15,0
國立大學,9,國立中山大學,高雄市,4140,4140,57,91,64530,70000,154939,444628
國立大學,12,國立臺灣海洋大學,基隆市,2915,2915,20,21,53299,15383,173571,86422
國立大學,13,國立中正大學,臺北市,0,0,0,0,33,0,0,0
國立大學,13,國立中正大學,嘉義縣,3735,3735,116,221,121975,12738,1171243,0
國立大學,13,國立中正大學,嘉義市,0,0,0,0,618,0,682,0
國立大學,14,國立高雄師範大學,高雄市,3550,3550,24,51,130746,33837,481981,0
國立大學,15,國立彰化師範大學,臺中市,0,0,0,6,283,0,234,0
國立大學,15,國立彰化師範大學,彰化縣,2652,2652,64,50,48581,33647,434026,0
國立大學,16,國立陽明大學,臺北市,2445,2445,29,123,41918,28740,429007,0
國立大學,17,國立臺北大學,新北市,1060,1060,0,0,28940,23158,493186,0
國立大學,17,國立臺北大學,臺北市,575,575,0,3,12843,4074,29302,55
國立大學,18,國立嘉義大學,嘉義縣,1283,1283,28,0,25006,32900,142499,0
國立大學,18,國立嘉義大學,嘉義市,2580,2580,46,0,69905,77305,997044,340238
國立大學,19,國立高雄大學,高雄市,1614,1614,16,46,64279,30500,730418,0
國立大學,20,國立東華大學,臺北市,0,0,0,0,32,0,0,0
國立大學,20,國立東華大學,花蓮縣,6232,6232,39,146,374271,77725,2017555,0
國立大學,21,國立暨南國際大學,南投縣,2840,2840,103,69,61509,53400,1369687,0
國立大學,22,國立臺灣科技大學,新北市,0,0,0,0,0,0,56693,0
國立大學,22,國立臺灣科技大學,臺北市,2139,2069,0,70,30644,14261,52767,22592
國立大學,22,國立臺灣科技大學,新竹縣,0,0,0,0,9027,0,61379,0
國立大學,22,國立臺灣科技大學,基隆市,0,0,0,0,0,0,98959,0
國立大學,23,國立雲林科技大學,雲林縣,2718,2622,52,83,79588,58002,443547,0
國立大學,24,國立屏東科技大學,臺北市,0,0,0,1,51,0,0,0
國立大學,24,國立屏東科技大學,屏東縣,3241,3200,0,15,144072,48219,2443700,3030064
國立大學,24,國立屏東科技大學,臺東縣,36,0,0,0,181,0,0,5760441
國立大學,25,國立臺北科技大學,新北市,200,0,0,0,0,0,51250,1480552
國立大學,25,國立臺北科技大學,臺北市,1581,1581,0,0,30095,11744,54679,0
國立大學,25,國立臺北科技大學,桃園市,0,0,0,0,0,1767,0,0
國立大學,25,國立臺北科技大學,基隆市,0,0,0,0,0,0,0,309146
國立大學,28,國立臺北藝術大學,臺北市,1460,1460,0,0,41368,15136,72816,241535
國立大學,29,國立臺灣藝術大學,新北市,840,840,0,0,19703,10350,48906,18500
國立大學,30,國立臺東大學,臺東縣,2416,2416,32,7,68146,37100,547817,65614
國立大學,31,國立宜蘭大學,宜蘭縣,1524,1524,63,1,45430,5440,102404,0
國立大學,32,國立聯合大學,苗栗縣,2830,2830,141,0,46328,21766,701525,0
國立大學,33,國立虎尾科技大學,雲林縣,1877,1877,110,0,57019,37290,278454,0
國立大學,35,國立臺南藝術大學,臺南市,1320,1320,43,41,35337,10144,279976,250000
國立大學,36,國立臺南大學,臺南市,1529,1529,0,12,30279,17813,70070,0
國立大學,37,國立臺北教育大學,臺北市,1385,1385,0,16,22977,12666,41995,411
國立大學,39,國立臺中教育大學,臺中市,2004,2004,0,4,29821,16083,54593,0
國立大學,42,國立澎湖科技大學,澎湖縣,741,741,20,29,21679,16552,421391,0
國立大學,43,國立勤益科技大學,臺中市,982,982,0,0,26708,30653,244344,25772
國立大學,44,國立體育大學,桃園市,1224,1224,38,12,72979,92107,465428,11922
國立大學,46,國立臺北護理健康大學,臺北市,1356,1356,0,27,20582,15399,46847,0
國立大學,47,國立高雄餐旅大學,高雄市,1358,1358,0,0,18402,8578,123064,0
國立大學,48,國立金門大學,金門縣,1182,1088,88,2,21870,7500,172799,0
國立大學,49,國立臺灣體育運動大學,臺中市,747,747,14,29,31104,86711,24925,0
國立大學,50,國立臺中科技大學,臺中市,1416,1416,5,2,22552,11928,111815,0
國立大學,51,國立臺北商業大學,臺北市,0,0,0,0,7839,2369,9747,0
國立大學,51,國立臺北商業大學,桃園市,590,590,0,0,7053,7874,34524,0
國立大學,52,國立屏東大學,屏東縣,3744,3744,21,1,54049,59743,310121,89423
國立大學,53,國立高雄科技大學,高雄市,4852,4827,83,79,164560,96433,980151,920536
國立學院,144,國立臺灣戲曲學院,臺北市,1095,315,0,0,15556,2271,31951,2152
國立專科,221,國立臺南護理專科學校,臺南市,504,504,0,1,7252,0,9645,0
國立專科,222,國立臺東專科學校,臺東縣,786,596,10,1,32880,92346,130862,0
私立大學,1001,東海大學,臺中市,5194,5194,68,409,110260,72377,1156449,0
私立大學,1002,輔仁大學,新北市,4184,3576,97,0,74064,45120,226848,0
